,0.01,0.05,0.1
21,"{2: 4.004, 3: 4.612, 4: 4.986, 5: 5.257, 6: 5.47, 7: 5.646, 8: 5.794, 9: 5.924, 10: 6.038, 11: 6.14, 12: 6.233, 13: 6.317, 14: 6.395, 15: 6.467, 16: 6.534, 17: 6.596, 18: 6.655, 19: 6.71, 20: 6.762}","{2: 2.941, 3: 3.565, 4: 3.942, 5: 4.213, 6: 4.424, 7: 4.597, 8: 4.743, 9: 4.87, 10: 4.981, 11: 5.081, 12: 5.17, 13: 5.252, 14: 5.327, 15: 5.396, 16: 5.46, 17: 5.52, 18: 5.576, 19: 5.629, 20: 5.679}","{2: 2.433, 3: 3.069, 4: 3.451, 5: 3.724, 6: 3.936, 7: 4.109, 8: 4.255, 9: 4.38, 10: 4.491, 11: 4.59, 12: 4.678, 13: 4.759, 14: 4.833, 15: 4.901, 16: 4.965, 17: 5.024, 18: 5.079, 19: 5.131, 20: 5.18}"
22,"{2: 3.986, 3: 4.588, 4: 4.957, 5: 5.225, 6: 5.435, 7: 5.608, 8: 5.754, 9: 5.882, 10: 5.994, 11: 6.095, 12: 6.186, 13: 6.269, 14: 6.346, 15: 6.417, 16: 6.482, 17: 6.544, 18: 6.602, 19: 6.656, 20: 6.707}","{2: 2.933, 3: 3.553, 4: 3.927, 5: 4.196, 6: 4.405, 7: 4.577, 8: 4.722, 9: 4.847, 10: 4.957, 11: 5.056, 12: 5.144, 13: 5.225, 14: 5.299, 15: 5.368, 16: 5.431, 17: 5.491, 18: 5.546, 19: 5.599, 20: 5.648}","{2: 2.428, 3: 3.061, 4: 3.441, 5: 3.712, 6: 3.923, 7: 4.095, 8: 4.239, 9: 4.364, 10: 4.474, 11: 4.572, 12: 4.66, 13: 4.74, 14: 4.814, 15: 4.882, 16: 4.944, 17: 5.003, 18: 5.058, 19: 5.109, 20: 5.158}"
23,"{2: 3.97, 3: 4.566, 4: 4.931, 5: 5.195, 6: 5.403, 7: 5.573, 8: 5.718, 9: 5.844, 10: 5.955, 11: 6.054, 12: 6.144, 13: 6.226, 14: 6.301, 15: 6.371, 16: 6.436, 17: 6.497, 18: 6.553, 19: 6.607, 20: 6.658}","{2: 2.926, 3: 3.542, 4: 3.914, 5: 4.18, 6: 4.388, 7: 4.558, 8: 4.702, 9: 4.826, 10: 4.935, 11: 5.033, 12: 5.121, 13: 5.201, 14: 5.274, 15: 5.342, 16: 5.405, 17: 5.464, 18: 5.519, 19: 5.571, 20: 5.62}","{2: 2.424, 3: 3.054, 4: 3.432, 5: 3.701, 6: 3.911, 7: 4.082, 8: 4.226, 9: 4.35, 10: 4.459, 11: 4.556, 12: 4.644, 13: 4.723, 14: 4.796, 15: 4.863, 16: 4.926, 17: 4.984, 18: 5.038, 19: 5.089, 20: 5.138}"
24,"{2: 3.955, 3: 4.546, 4: 4.907, 5: 5.168, 6: 5.373, 7: 5.542, 8: 5.685, 9: 5.809, 10: 5.919, 11: 6.017, 12: 6.105, 13: 6.186, 14: 6.261, 15: 6.33, 16: 6.394, 17: 6.453, 18: 6.51, 19: 6.562, 20: 6.612}","{2: 2.919, 3: 3.532, 4: 3.901, 5: 4.166, 6: 4.373, 7: 4.541, 8: 4.684, 9: 4.807, 10: 4.915, 11: 5.012, 12: 5.099, 13: 5.179, 14: 5.251, 15: 5.319, 16: 5.381, 17: 5.439, 18: 5.494, 19: 5.545, 20: 5.594}","{2: 2.42, 3: 3.047, 4: 3.423, 5: 3.692, 6: 3.9, 7: 4.07, 8: 4.213, 9: 4.336, 10: 4.445, 11: 4.541, 12: 4.628, 13: 4.707, 14: 4.78, 15: 4.847, 16: 4.909, 17: 4.966, 18: 5.02, 19: 5.071, 20: 5.119}"
25,"{2: 3.942, 3: 4.527, 4: 4.885, 5: 5.144, 6: 5.347, 7: 5.513, 8: 5.655, 9: 5.778, 10: 5.886, 11: 5.983, 12: 6.07, 13: 6.15, 14: 6.224, 15: 6.292, 16: 6.355, 17: 6.414, 18: 6.469, 19: 6.522, 20: 6.571}","{2: 2.913, 3: 3.523, 4: 3.89, 5: 4.153, 6: 4.358, 7: 4.526, 8: 4.667, 9: 4.789, 10: 4.897, 11: 4.993, 12: 5.079, 13: 5.158, 14: 5.23, 15: 5.297, 16: 5.359, 17: 5.417, 18: 5.471, 19: 5.522, 20: 5.57}","{2: 2.416, 3: 3.041, 4: 3.416, 5: 3.683, 6: 3.89, 7: 4.059, 8: 4.201, 9: 4.324, 10: 4.432, 11: 4.528, 12: 4.614, 13: 4.693, 14: 4.765, 15: 4.831, 16: 4.893, 17: 4.95, 18: 5.004, 19: 5.055, 20: 5.102}"
26,"{2: 3.93, 3: 4.51, 4: 4.865, 5: 5.121, 6: 5.322, 7: 5.487, 8: 5.627, 9: 5.749, 10: 5.856, 11: 5.951, 12: 6.038, 13: 6.117, 14: 6.19, 15: 6.257, 16: 6.319, 17: 6.378, 18: 6.432, 19: 6.484, 20: 6.533}","{2: 2.907, 3: 3.514, 4: 3.88, 5: 4.141, 6: 4.345, 7: 4.511, 8: 4.652, 9: 4.773, 10: 4.88, 11: 4.975, 12: 5.061, 13: 5.139, 14: 5.211, 15: 5.277, 16: 5.339, 17: 5.396, 18: 5.45, 19: 5.5, 20: 5.548}","{2: 2.412, 3: 3.036, 4: 3.409, 5: 3.675, 6: 3.881, 7: 4.049, 8: 4.191, 9: 4.313, 10: 4.42, 11: 4.515, 12: 4.601, 13: 4.68, 14: 4.751, 15: 4.817, 16: 4.878, 17: 4.936, 18: 4.989, 19: 5.039, 20: 5.086}"
27,"{2: 3.918, 3: 4.495, 4: 4.847, 5: 5.101, 6: 5.3, 7: 5.463, 8: 5.602, 9: 5.722, 10: 5.828, 11: 5.923, 12: 6.008, 13: 6.087, 14: 6.158, 15: 6.225, 16: 6.287, 17: 6.344, 18: 6.399, 19: 6.45, 20: 6.498}","{2: 2.902, 3: 3.506, 4: 3.87, 5: 4.13, 6: 4.333, 7: 4.498, 8: 4.638, 9: 4.758, 10: 4.864, 11: 4.959, 12: 5.044, 13: 5.122, 14: 5.193, 15: 5.259, 16: 5.32, 17: 5.377, 18: 5.43, 19: 5.48, 20: 5.528}","{2: 2.409, 3: 3.03, 4: 3.402, 5: 3.667, 6: 3.873, 7: 4.04, 8: 4.181, 9: 4.302, 10: 4.409, 11: 4.504, 12: 4.59, 13: 4.667, 14: 4.739, 15: 4.804, 16: 4.865, 17: 4.922, 18: 4.975, 19: 5.025, 20: 5.072}"
28,"{2: 3.908, 3: 4.481, 4: 4.83, 5: 5.082, 6: 5.279, 7: 5.441, 8: 5.578, 9: 5.697, 10: 5.802, 11: 5.896, 12: 5.981, 13: 6.058, 14: 6.129, 15: 6.195, 16: 6.256, 17: 6.314, 18: 6.367, 19: 6.418, 20: 6.465}","{2: 2.897, 3: 3.499, 4: 3.861, 5: 4.12, 6: 4.322, 7: 4.486, 8: 4.625, 9: 4.745, 10: 4.85, 11: 4.944, 12: 5.029, 13: 5.106, 14: 5.177, 15: 5.242, 16: 5.302, 17: 5.359, 18: 5.412, 19: 5.462, 20: 5.509}","{2: 2.406, 3: 3.026, 4: 3.396, 5: 3.66, 6: 3.865, 7: 4.032, 8: 4.172, 9: 4.293, 10: 4.399, 11: 4.493, 12: 4.579, 13: 4.656, 14: 4.727, 15: 4.792, 16: 4.853, 17: 4.909, 18: 4.962, 19: 5.012, 20: 5.058}"
29,"{2: 3.898, 3: 4.467, 4: 4.814, 5: 5.064, 6: 5.26, 7: 5.42, 8: 5.556, 9: 5.674, 10: 5.778, 11: 5.871, 12: 5.955, 13: 6.032, 14: 6.103, 15: 6.168, 16: 6.228, 17: 6.285, 18: 6.338, 19: 6.388, 20: 6.435}","{2: 2.892, 3: 3.493, 4: 3.853, 5: 4.111, 6: 4.311, 7: 4.475, 8: 4.613, 9: 4.732, 10: 4.837, 11: 4.93, 12: 5.014, 13: 5.091, 14: 5.161, 15: 5.226, 16: 5.286, 17: 5.342, 18: 5.395, 19: 5.445, 20: 5.491}","{2: 2.403, 3: 3.021, 4: 3.391, 5: 3.654, 6: 3.858, 7: 4.024, 8: 4.163, 9: 4.284, 10: 4.389, 11: 4.484, 12: 4.568, 13: 4.645, 14: 4.716, 15: 4.781, 16: 4.841, 17: 4.897, 18: 4.95, 19: 4.999, 20: 5.046}"
30,"{2: 3.889, 3: 4.455, 4: 4.799, 5: 5.048, 6: 5.242, 7: 5.401, 8: 5.536, 9: 5.653, 10: 5.756, 11: 5.848, 12: 5.932, 13: 6.008, 14: 6.078, 15: 6.142, 16: 6.202, 17: 6.258, 18: 6.311, 19: 6.361, 20: 6.407}","{2: 2.888, 3: 3.486, 4: 3.845, 5: 4.102, 6: 4.301, 7: 4.464, 8: 4.601, 9: 4.72, 10: 4.824, 11: 4.917, 12: 5.001, 13: 5.077, 14: 5.147, 15: 5.211, 16: 5.271, 17: 5.327, 18: 5.379, 19: 5.429, 20: 5.475}","{2: 2.4, 3: 3.017, 4: 3.386, 5: 3.648, 6: 3.851, 7: 4.016, 8: 4.155, 9: 4.275, 10: 4.381, 11: 4.474, 12: 4.559, 13: 4.635, 14: 4.706, 15: 4.77, 16: 4.83, 17: 4.886, 18: 4.939, 19: 4.988, 20: 5.034}"
